ground,sentence,before,vehicle,after,title,author
beautiful,Ravenna Court was about as beautiful as a rattlesnake bite.,Ravenna Court was about,a rattlesnake bite,.,Tin God,Stacy Green
beautiful,Luke’s about as beautiful as the south end of a northbound mule.,Luke’s about,the south end of a northbound mule,.,Granite Man,Elizabeth Lowell
bright,She’s as bright as a biscuit.,She’s,a biscuit,.,The Rise of Silas Lapham,William Dean Howells
bright,So its pretty plain that she was about as bright as a box of zombies.,So its pretty plain that she was about,a box of zombies,.,Feed,Mira Grant
clear,It sounded as innocent and about as clear as the average commercial telegram.,It sounded as innocent and about,the average commercial telegram,.,The Metal Master,Kenneth Robeson
clear,The sky was as clear as an IRS agent’s conscience.,The sky was,an IRS agent’s conscience,.,Press Conference,Brad Linaweaver
clear,Very mechanical and as clear as a falling-down drunk speaking his native tongue.,Very mechanical and,a falling-down drunk speaking his native tongue,.,Gilded Latten Bones,Glen Cook
clear,Where this thing might lead was as clear as a map drawn by a blind man.,Where this thing might lead was,a map drawn by a blind man,.,Mother of Pearl,Melinda Haynes
clear,International law is about as clear as a novel by Virginia Woolf.,International law is about,a novel by Virginia Woolf,.,Holy of Holies,Alan Williams
clear,My relationship status was about as clear as a serial killer’s cellar window.,My relationship status was,a serial killer’s cellar window,.,With a Twist,Staci Hart
clear,"I hate the look on this asshole’s face right now, that mix of pity and contempt, his thoughts as clear as the smell of shit that I have stepped in.","I hate the look on this asshole’s face right now, that mix of pity and contempt, his thoughts",the smell of shit that I have stepped in,.,Love in Lingerie,Alessandra Torre
clear,Men are creatures I will never understand; their motives are as clear as the Terms and Conditions.,Men are creatures I will never understand; their motives are,the Terms and Conditions,.,Beasts,Joyce Carol Oates
comfortable,But something about that thought felt as comfortable as bad seafood in his gut.,But something about that thought felt,bad seafood in his gut,.,On Every Side,Karen Kingsbury
comfortable,"The role of jealous boyfriend was about as comfortable as a cactus seat, but he didn’t give a damn.",The role of jealous boyfriend was about,a cactus seat,", but he didn’t give a damn.",Getting Rowdy,Lori Foster
comfortable,"Damn, she must look like the headmistress from her all-girl prep school, and felt as comfortable as a cat caught in a summer downpour.","Damn, she must look like the headmistress from her all-girl prep school, and felt",a cat caught in a summer downpour,.,Instinctive,Cathryn Fox
comfortable,And that’s sitting about as comfortable as a chastity belt on a hooker.,And that’s sitting about,a chastity belt on a hooker,.,Hard Beat,K. Bromberg
comfortable,The learned exponents of revised football looked about as comfortable as a collection of expiring beetles mounted on large steel pins...,The learned exponents of revised football looked about,a collection of expiring beetles mounted on large steel pins,...,At Good Old Siwash,George Fitch
comfortable,"Adna was as comfortable as a cow in a hammock, and she would have sent him away...",Adna was,a cow in a hammock,", and she would have sent him away...",We Can't Have Everything,Rupert Hughes
comfortable,“This rig is about as comfortable as a hair shirt.”,“This rig is about,a hair shirt,.”,The Radio Boys Under the Sea,J. W. Duffield
